dataset,injection_rate,seed,precision,recall,f1,true_positives,false_positives,false_negatives,abstained,elapsed_sec
Chess Piece Production,0.25,123,0.9768292682926828,0.7193533902110463,0.8285492629945694,1602,38,625,587,67.1
Chess Piece Production,0.25,2025,0.9875699192044748,0.713515940727436,0.8284671532846715,1589,20,638,618,69.9
Chess Piece Production,0.3,42,0.9827027027027028,0.6803892215568862,0.8040689960194604,1818,32,854,822,68.0
Chess Piece Production,0.3,123,0.975487743871936,0.7297904191616766,0.8349389852280025,1950,49,722,673,58.3
Chess Piece Production,0.3,2025,0.9702085402184708,0.7312874251497006,0.8339735381988904,1954,60,718,658,55.4
BPIC2013 incidents,0.05,42,0.9938893981057134,0.992979242979243,0.9934341120781798,3253,20,23,3,177.5
BPIC2013 incidents,0.05,123,0.992979242979243,0.992979242979243,0.992979242979243,3253,23,23,0,177.7
BPIC2013 incidents,0.05,2025,0.9945038167938932,0.9942002442002442,0.9943520073271256,3257,18,19,1,204.9
BPIC2013 incidents,0.1,42,0.9914503816793891,0.99099649015718,0.9912233839578724,6494,56,59,3,196.0
BPIC2013 incidents,0.1,123,0.992976026874332,0.9923699069128644,0.9926728743703253,6503,46,50,4,172.6
BPIC2013 incidents,0.1,2025,0.994649954142464,0.9929803143598352,0.9938144329896906,6507,35,46,11,197.9
BPIC2013 incidents,0.15,42,0.9916556426172788,0.991453861023502,0.9915547415547414,9745,82,84,2,185.2
BPIC2013 incidents,0.15,123,0.9924658928935044,0.9917590802726626,0.9921123606941122,9748,74,81,7,186.3
BPIC2013 incidents,0.15,2025,0.9937869219800368,0.9926747380201444,0.9932305186542476,9757,61,72,11,187.3
BPIC2013 incidents,0.2,42,0.9916030534351143,0.9911490920189228,0.9913760207586048,12990,110,116,6,164.2
BPIC2013 incidents,0.2,123,0.9938182095703274,0.993590721806806,0.9937044526689304,13022,81,84,3,172.7
BPIC2013 incidents,0.2,2025,0.9933587786259542,0.9929040134289638,0.9931313439670304,13013,87,93,6,175.0
BPIC2013 incidents,0.25,42,0.9920019537212283,0.9917597509613624,0.9918808375557048,16248,131,135,4,141.0
BPIC2013 incidents,0.25,123,0.9938335673728554,0.993590917414393,0.9937122275807336,16278,101,105,4,144.2
BPIC2013 incidents,0.25,2025,0.9915104134856164,0.9909052066166149,0.9912077176700452,16234,139,149,10,159.0
BPIC2013 incidents,0.3,42,0.9906265919510951,0.9891652678162672,0.9898953905673342,19446,184,213,29,158.2
BPIC2013 incidents,0.3,123,0.9930262153219648,0.9923190396256168,0.9926725015265622,19508,137,151,14,156.8
BPIC2013 incidents,0.3,2025,0.9923664122137404,0.9919121013276362,0.992139204762268,19500,150,159,9,148.6
BPIC2020 Permit,0.05,42,0.8501144164759725,0.3432663432663432,0.489057100543031,1486,262,2843,2581,845.5
BPIC2020 Permit,0.05,123,0.8581920903954803,0.3508893508893509,0.4981144449909822,1519,251,2810,2559,785.4
BPIC2020 Permit,0.05,2025,0.8600337268128162,0.3534303534303534,0.5009823182711199,1530,249,2799,2550,789.7
BPIC2020 Permit,0.1,42,0.8715175352343494,0.3071148071148071,0.4541805448800068,2659,392,5999,5607,828.5
BPIC2020 Permit,0.1,123,0.8542967588462682,0.3318318318318318,0.4779968388653191,2873,490,5785,5295,757.5
BPIC2020 Permit,0.1,2025,0.8386411889596603,0.3193578193578194,0.4625679631953157,2765,532,5893,5361,815.4
BPIC2020 Permit,0.15,42,0.8604008293020041,0.2875952875952876,0.4310941828254847,3735,606,9252,8646,812.5
BPIC2020 Permit,0.15,123,0.8592010478061559,0.3030723030723031,0.448087431693989,3936,645,9051,8406,750.9
BPIC2020 Permit,0.15,2025,0.8508467659661294,0.3210903210903211,0.4662343470483006,4170,731,8817,8086,694.4
BPIC2020 Permit,0.2,42,0.8733434305187429,0.2664010164010164,0.4082662182494025,4613,669,12703,12034,767.2
BPIC2020 Permit,0.2,123,0.8407230559345157,0.2847077847077847,0.4253666954270922,4930,934,12386,11452,673.1
BPIC2020 Permit,0.2,2025,0.8338378742011436,0.2863247863247863,0.4262746109534863,4958,988,12358,11370,684.6
BPIC2020 Permit,0.25,42,0.8491987179487179,0.2448140448140448,0.3800609646763493,5299,941,16346,15405,811.7
BPIC2020 Permit,0.25,123,0.835641454877492,0.2536844536844537,0.3892117947263963,5491,1080,16154,15074,695.3
BPIC2020 Permit,0.25,2025,0.830738465933438,0.2686994686994687,0.4060601829225721,5816,1185,15829,14644,714.7
BPIC2020 Permit,0.3,42,0.8514753635465199,0.2321937321937321,0.3648848957860664,6031,1052,19943,18891,786.1
BPIC2020 Permit,0.3,123,0.8470588235294118,0.2273042273042273,0.3584264205925206,5904,1066,20070,19004,741.5
BPIC2020 Permit,0.3,2025,0.8165090723230258,0.246015246015246,0.3781065088757397,6390,1436,19584,18148,674.6
SmartFactory,0.05,42,0.7727272727272727,0.6520547945205479,0.7072808320950965,714,210,381,171,388.8
SmartFactory,0.05,123,0.7200424178154825,0.6200913242009133,0.6663395485770364,679,264,416,152,361.0
SmartFactory,0.05,2025,0.7796976241900648,0.6593607305936073,0.714497773379515,722,204,373,169,416.8
SmartFactory,0.1,42,0.6711158569140416,0.5737106344135098,0.6186023622047244,1257,616,934,318,350.1
SmartFactory,0.1,123,0.7686852154937261,0.6430853491556366,0.7002982107355864,1409,424,782,358,352.2
